Date,Rate,High (est),Low (est)
2000-08-14,260.682,0.0,0.0
2000-08-15,260.764,263.93,257.64
2000-08-16,260.821,264.05,257.63
2000-08-17,260.827,263.75,257.94
2000-08-18,260.912,264.16,257.71
2000-08-21,260.943,263.96,257.96
2000-08-22,260.976,0.0,0.0
2000-08-23,261.06,0.0,0.0
2000-08-24,261.1,0.0,0.0
2000-08-25,261.114,0.0,0.0
2000-08-28,261.144,0.0,0.0
2000-08-29,261.191,264.29,258.12
2000-08-30,261.222,0.0,0.0
2000-08-31,261.289,264.4,258.21
2000-09-01,261.313,0.0,0.0
2000-09-04,261.496,0.0,0.0
2000-09-05,261.657,264.77,258.58
2000-09-06,261.742,264.74,258.78
2000-09-07,261.742,264.74,258.77
2000-09-08,261.766,264.76,258.81
2000-09-11,261.871,265.05,258.73
2000-09-12,261.815,264.78,258.88
2000-09-13,261.632,0.0,0.0
2000-09-14,261.777,0.0,0.0
2000-09-15,261.847,0.0,0.0
2000-09-18,262.005,264.97,259.08
2000-09-19,262.348,265.5,259.24
2000-09-20,262.43,265.39,259.51
2000-09-21,262.675,265.94,259.45
2000-09-22,262.985,0.0,0.0
2000-09-25,263.035,266.04,260.07
2000-09-26,263.075,265.98,260.2
2000-09-27,263.397,266.56,260.27
2000-09-28,263.766,0.0,0.0
2000-09-29,263.766,0.0,0.0
2000-10-02,263.698,266.85,260.58
2000-10-03,263.592,0.0,0.0
2000-10-04,263.319,0.0,0.0
2000-10-05,263.733,266.71,260.79
2000-10-06,263.13,266.32,259.97
2000-10-09,262.54,265.43,259.68
2000-10-10,262.496,0.0,0.0
2000-10-11,262.819,265.94,259.74
2000-10-12,262.942,0.0,0.0
2000-10-13,262.957,265.91,260.04
2000-10-16,263.038,0.0,0.0
2000-10-17,262.875,265.97,259.82
2000-10-18,262.895,265.86,259.96
2000-10-19,262.711,265.73,259.73
2000-10-20,262.639,265.72,259.6
2000-10-23,262.667,265.75,259.62
2000-10-24,262.637,0.0,0.0
2000-10-25,262.637,0.0,0.0
2000-10-26,262.841,265.93,259.79
2000-10-27,263.099,0.0,0.0
2000-10-30,263.254,0.0,0.0
2000-10-31,263.265,266.53,260.04
2000-11-01,263.29,266.22,260.39
2000-11-02,263.371,266.28,260.49
2000-11-03,263.696,0.0,0.0
2000-11-06,263.876,267.15,260.65
2000-11-07,263.895,266.93,260.9
2000-11-08,263.894,267.04,260.79
2000-11-09,263.929,0.0,0.0
2000-11-10,264.048,0.0,0.0
2000-11-13,264.182,267.46,260.95
2000-11-14,264.123,0.0,0.0
2000-11-15,263.806,0.0,0.0
2000-11-16,263.647,266.68,260.65
2000-11-17,263.542,266.64,260.48
2000-11-20,263.829,267.01,260.68
2000-11-21,264.235,0.0,0.0
2000-11-22,264.289,0.0,0.0
2000-11-23,264.347,0.0,0.0
2000-11-24,264.379,0.0,0.0
2000-11-27,264.453,267.51,261.43
2000-11-28,264.741,267.8,261.72
2000-11-29,264.925,268.0,261.89
2000-11-30,264.927,268.23,261.66
2000-12-01,264.969,0.0,0.0
2000-12-04,265.264,268.55,262.02
2000-12-05,265.312,268.49,262.17
2000-12-06,265.097,268.33,261.9
2000-12-07,265.195,268.2,262.22
2000-12-08,265.35,0.0,0.0
2000-12-11,265.315,268.25,262.42
2000-12-12,265.251,268.43,262.11
2000-12-13,264.899,268.02,261.82
2000-12-14,264.697,267.79,261.64
2000-12-15,264.509,267.51,261.54
2000-12-18,264.536,267.68,261.43
2000-12-19,264.379,267.63,261.16
2000-12-20,264.288,0.0,0.0
2000-12-21,264.447,267.48,261.45
2000-12-22,264.637,267.71,261.6
2000-12-25,264.772,0.0,0.0
2000-12-26,264.694,267.81,261.61
2000-12-27,264.986,268.16,261.85
2000-12-28,265.167,268.48,261.9
2000-12-29,264.844,0.0,0.0
2001-01-01,264.622,267.84,261.44
2001-01-02,264.639,0.0,0.0
2001-01-03,264.598,267.62,261.61
2001-01-04,264.658,0.0,0.0
2001-01-05,264.757,267.71,261.84
2001-01-08,264.894,268.16,261.67
2001-01-09,265.047,268.29,261.84
2001-01-10,265.048,268.32,261.81
2001-01-11,265.093,268.41,261.82
2001-01-12,265.111,268.18,262.07
2001-01-15,265.056,268.12,262.03
2001-01-16,265.011,268.08,261.98
2001-01-17,264.983,268.24,261.77
2001-01-18,265.093,0.0,0.0
2001-01-19,265.103,268.09,262.15
2001-01-22,264.988,0.0,0.0
2001-01-23,264.957,268.06,261.9
2001-01-24,265.012,0.0,0.0
2001-01-25,265.08,268.07,262.12
2001-01-26,265.149,0.0,0.0
2001-01-29,265.136,268.2,262.1
2001-01-30,265.151,0.0,0.0
2001-01-31,265.176,0.0,0.0
2001-02-01,265.243,268.42,262.11
2001-02-02,265.282,0.0,0.0
2001-02-05,265.304,0.0,0.0
2001-02-06,265.316,0.0,0.0
2001-02-07,265.327,0.0,0.0
2001-02-08,265.428,268.62,262.27
2001-02-09,265.47,0.0,0.0
